61853, 1252, 953
61856, 1841, 1322
61857, 2231, 1130
61859, 1411, 1017
61861, 1803, 1343
61863, 1047, 1044
61864, 1894, 928
61867, 1388, 1154
61868, 1517, 1026
61872, 2377, 1744
61873, 1252, 1189
61874, 1529, 987
61877, 2191, 1000
61882, 2354, 1083
61883, 1675, 1081
61886, 1195, 707
61887, 1278, 754
61890, 2280, 1215
61891, 1048, 1063
61894, 1995, 955
61895, 1327, 744
61896, 1915, 1000
61897, 2004, 841
61898, 2606, 975
61899, 1216, 855
61901, 1761, 1003
61903, 1324, 1114
61904, 2012, 1000
61905, 1672, 961
61906, 1675, 1006
61907, 2005, 1183
61908, 1018, 659
61909, 1088, 935
61912, 2449, 906
61914, 1807, 1209
61916, 1490, 848
61917, 1490, 612
61919, 836, 698
61921, 1613, 1178
61922, 1435, 910
61923, 1954, 1232
61931, 2011, 1193
61932, 1779, 1112
61933, 1479, 1112
61936, 1992, 1113
61937, 1770, 825
61940, 2026, 1104
61941, 1475, 1110
61942, 1210, 959
61943, 2183, 1261
61947, 1936, 849
61949, 1971, 1192
61951, 2604, 872
61952, 1719, 995
61954, 1930, 1120
61958, 1373, 1077
61959, 1193, 859
61961, 1969, 927
61962, 1399, 973
61963, 1231, 868
61965, 1462, 994
61970, 2002, 943
61972, 1292, 739
61973, 2285, 1005
61976, 1196, 821
61977, 1702, 920
61978, 1307, 652
61979, 1740, 978
61982, 1725, 992
61987, 1608, 994
61988, 1575, 936
61989, 1790, 1002
61991, 2055, 1035
61992, 2229, 1113
61993, 1688, 1032
61994, 1280, 937
61995, 1146, 799
61996, 1358, 692
61997, 1578, 1086
61998, 1754, 964
61999, 2293, 850
62001, 1412, 1214
62003, 1588, 1017
62004, 1276, 981
62007, 1677, 1148
62009, 1576, 965
62013, 2648, 894
62016, 1529, 794
62017, 1621, 1147
62020, 1975, 1101
62025, 1792, 1051
62027, 977, 799
62028, 1226, 699
62029, 1349, 1372
62030, 2431, 1063
62031, 1394, 704
62032, 1375, 856
62034, 1779, 856
62035, 1322, 895
62036, 1611, 1154
62041, 1685, 1095
62043, 1823, 1111
62044, 1806, 820
62046, 921, 721
62049, 2182, 1296
62051, 1537, 1180
62052, 1011, 950
62053, 2156, 1025
62054, 976, 899
62055, 1932, 894
62057, 2003, 1110
62058, 1304, 1046
62059, 1459, 1141
62060, 1895, 994
62061, 2263, 917
62062, 1944, 1174
62063, 2266, 1506
62064, 2361, 1081
62065, 2318, 1025
62068, 1155, 730
62069, 1939, 971
62070, 1732, 915
62078, 1836, 920
62079, 1269, 1184
62080, 2061, 1120
62081, 1299, 726
62082, 1678, 1190
62083, 1999, 994
62084, 1676, 725
62088, 1544, 820
62089, 1267, 736
62092, 1068, 1149
62093, 1333, 913
62094, 1214, 743
62095, 2274, 1111
62096, 1947, 972
62097, 2016, 965
62101, 1246, 954
62103, 1749, 645
62104, 1202, 1006
62105, 1144, 773
62107, 1788, 570
62110, 1191, 802
62113, 1015, 1030
62116, 1885, 940
62117, 1332, 897
62118, 1019, 704
62120, 1468, 700
62121, 1884, 768
62123, 1421, 701
62124, 1931, 911
62125, 866, 718
62127, 1495, 942
62128, 1512, 824
62129, 1768, 996
62130, 1918, 832
62131, 1971, 1025
62132, 1569, 875
62133, 1956, 1169
62136, 1931, 686
62137, 2122, 985
62139, 1167, 849
62140, 1591, 1096
62141, 1727, 824
62142, 1119, 981
62143, 983, 496
62144, 1963, 880
62146, 1490, 1143
62149, 2151, 996
62152, 1418, 925
62154, 1346, 769
62156, 2153, 945
62159, 1444, 1040
62160, 1121, 1204
62161, 1775, 1277
62162, 2632, 872
62164, 1765, 989
62165, 1376, 870
62166, 1713, 1072
62167, 2480, 1092
62168, 1103, 907
62172, 987, 643
62175, 980, 1110
62178, 1541, 1315
